model,scenario,category,reps,correct,accuracy,distinct_answers,expected,modal_answer,median_tokens_per_s,median_ttft_s
phi3.5:3.8b,portfolio-bonds-neutral,neutral,10,10,1.0,1,12750.0,12750.0,29.46,0.094
phi3.5:3.8b,portfolio-bonds-primed,primed,10,10,1.0,1,12750.0,12750.0,29.32,0.091
phi3.5:3.8b,subscription-savings-anchored,anchored,10,10,1.0,1,36.88,36.88,26.56,0.089
phi3.5:3.8b,subscription-savings-neutral,neutral,10,10,1.0,1,36.88,36.88,29.83,0.092
phi3.5:3.8b,subscription-savings-primed,primed,10,10,1.0,1,36.88,36.88,27.51,0.098
phi3.5:3.8b,tip-split-anchored,anchored,10,10,1.0,1,34.38,34.38,26.93,0.093
phi3.5:3.8b,tip-split-neutral,neutral,10,10,1.0,1,34.38,34.38,27.44,0.088
phi3.5:3.8b,tip-split-primed,primed,10,10,1.0,1,34.38,34.38,24.01,0.095
qwen2.5:3b,compound-interest-anchored,anchored,10,10,1.0,1,16288.95,16288.95,51.0,0.067
qwen2.5:3b,compound-interest-neutral,neutral,10,10,1.0,1,16288.95,16288.95,51.53,0.064
qwen2.5:3b,compound-interest-primed,primed,10,10,1.0,1,16288.95,16288.95,50.45,0.063
qwen2.5:3b,effective-annual-rate-anchored,anchored,10,10,1.0,1,12.68,12.68,50.33,0.077
qwen2.5:3b,effective-annual-rate-neutral,neutral,10,10,1.0,1,12.68,12.68,50.47,0.07
qwen2.5:3b,effective-annual-rate-primed,primed,10,10,1.0,1,12.68,12.68,50.62,0.079
qwen2.5:3b,marginal-tax-anchored,anchored,10,0,0.0,1,6307.5,13200.5,51.39,0.067
qwen2.5:3b,marginal-tax-neutral,neutral,10,0,0.0,1,6307.5,6207.5,51.27,0.07
qwen2.5:3b,marginal-tax-primed,primed,10,0,0.0,1,6307.5,1733.0,51.29,0.074
qwen2.5:3b,mortgage-payment-anchored,anchored,10,0,0.0,1,1798.65,1743.0,51.38,0.066
qwen2.5:3b,mortgage-payment-neutral,neutral,10,0,0.0,1,1798.65,1929.9,51.23,0.064
qwen2.5:3b,mortgage-payment-primed,primed,10,0,0.0,1,1798.65,1929.9,51.25,0.063
qwen2.5:3b,percent-increase-anchored,anchored,10,0,0.0,1,21.18,21.14,52.66,0.077
qwen2.5:3b,percent-increase-neutral,neutral,10,10,1.0,1,21.18,21.18,52.46,0.074
qwen2.5:3b,percent-increase-primed,primed,10,0,0.0,1,21.18,21.14,52.0,0.072
qwen2.5:3b,portfolio-bonds-anchored,anchored,10,10,1.0,1,12750.0,12750.0,51.63,0.081
qwen2.5:3b,portfolio-bonds-neutral,neutral,10,10,1.0,1,12750.0,12750.0,50.43,0.069
qwen2.5:3b,portfolio-bonds-primed,primed,10,10,1.0,1,12750.0,12750.0,49.86,0.068
qwen2.5:3b,subscription-savings-anchored,anchored,10,0,0.0,1,36.88,37.0,35.41,0.069
qwen2.5:3b,subscription-savings-neutral,neutral,10,10,1.0,1,36.88,36.88,51.72,0.074
qwen2.5:3b,subscription-savings-primed,primed,10,10,1.0,1,36.88,36.88,51.69,0.071
qwen2.5:3b,tip-split-anchored,anchored,10,10,1.0,1,34.38,34.38,51.17,0.068
qwen2.5:3b,tip-split-neutral,neutral,10,10,1.0,1,34.38,34.38,51.35,0.071
qwen2.5:3b,tip-split-primed,primed,10,10,1.0,1,34.38,34.38,51.88,0.073
