model,scenario,category,reps,correct,accuracy,distinct_answers,expected,modal_answer,median_tokens_per_s,median_ttft_s
phi3.5:3.8b,large-long-high-bracket-named,named,5,3,0.6,3,3.0,3.0,7.88,1.235
phi3.5:3.8b,large-short-high-bracket-anon,anon,5,5,1.0,1,1.0,1.0,8.79,0.195
phi3.5:3.8b,large-short-high-bracket-named,named,5,0,0.0,1,1.0,3.0,24.04,0.102
phi3.5:3.8b,mid-decade-anon,anon,5,0,0.0,2,2.0,3.0,23.8,0.1
phi3.5:3.8b,mid-decade-named,named,5,5,1.0,1,2.0,2.0,23.8,0.084
phi3.5:3.8b,mid-long-low-bracket-anon,anon,5,4,0.8,2,3.0,3.0,22.55,0.087
phi3.5:3.8b,mid-long-low-bracket-named,named,5,5,1.0,1,3.0,3.0,21.22,0.086
phi3.5:3.8b,seed-only-anon,anon,5,5,1.0,1,2.0,2.0,20.83,0.104
phi3.5:3.8b,seed-only-named,named,5,0,0.0,1,2.0,3.0,23.66,0.086
phi3.5:3.8b,small-long-low-bracket-anon,anon,5,4,0.8,2,3.0,3.0,21.36,0.112
phi3.5:3.8b,small-long-low-bracket-named,named,5,5,1.0,1,3.0,3.0,20.26,0.101
phi3.5:3.8b,small-short-anon,anon,5,0,0.0,1,1.0,3.0,22.13,0.093
phi3.5:3.8b,small-short-named,named,5,0,0.0,1,1.0,3.0,17.76,0.111
phi3.5:3.8b,standard-anon,anon,5,5,1.0,1,2.0,2.0,23.94,0.101
phi3.5:3.8b,standard-named,named,5,5,1.0,1,2.0,2.0,24.06,0.085
qwen2.5:3b,large-long-high-bracket-anon,anon,5,0,0.0,1,3.0,1.0,50.55,0.066
qwen2.5:3b,large-long-high-bracket-named,named,5,5,1.0,1,3.0,3.0,50.66,0.068
qwen2.5:3b,large-short-high-bracket-anon,anon,5,0,0.0,1,1.0,2.0,36.07,0.103
qwen2.5:3b,large-short-high-bracket-named,named,5,5,1.0,1,1.0,1.0,36.03,0.1
qwen2.5:3b,mid-decade-anon,anon,5,0,0.0,1,2.0,1.0,51.0,0.071
qwen2.5:3b,mid-decade-named,named,5,0,0.0,1,2.0,1.0,51.33,0.07
qwen2.5:3b,mid-long-low-bracket-anon,anon,5,5,1.0,1,3.0,3.0,50.9,0.067
qwen2.5:3b,mid-long-low-bracket-named,named,5,5,1.0,1,3.0,3.0,50.89,0.064
qwen2.5:3b,seed-only-anon,anon,5,5,1.0,1,2.0,2.0,51.04,0.063
qwen2.5:3b,seed-only-named,named,5,5,1.0,1,2.0,2.0,49.44,0.075
qwen2.5:3b,small-long-low-bracket-anon,anon,5,0,0.0,1,3.0,2.0,51.13,0.065
qwen2.5:3b,small-long-low-bracket-named,named,5,0,0.0,1,3.0,2.0,50.8,0.065
qwen2.5:3b,small-short-anon,anon,5,4,0.8,2,1.0,1.0,50.78,0.067
qwen2.5:3b,small-short-named,named,5,0,0.0,1,1.0,3.0,50.33,0.074
qwen2.5:3b,standard-anon,anon,5,5,1.0,1,2.0,2.0,36.06,0.1
qwen2.5:3b,standard-named,named,5,0,0.0,1,2.0,3.0,36.77,0.088
